Year,Country,GDP (Current USD),Total Population,Life Expectancy,GDP/Capita,Area (km2),Population Density (/km2),Unemployment Rate (%)
1971,France,165966615366.00,52480421.00,72.00,3162.00,549086.00,96.00,3.00
1971,United Kingdom,148113896325.00,55896223.00,72.00,2650.00,243610.00,231.00,3.00
1971,India,66452561866.00,566224812.00,49.00,117.00,3287260.00,190.00, -
1971,Ireland,5104355500.00,2992050.00,73.00,1706.00,70280.00,43.00, -
1971,Italy,124261125468.00,54073490.00,72.00,2298.00,301340.00,184.00,5.00
1971,Mexico,39200000000.00,53718724.00,62.00,730.00,1964380.00,28.00, -
1971,Nigeria,9181769912.00,57295210.00,47.00,160.00,923770.00,63.00, -
1971,Netherlands,44010160464.00,13194497.00,74.00,3335.00,41530.00,391.00, -
1971,New Zealand,8066935949.00,2853000.00,72.00,2828.00,267710.00,11.00, -
1971,Thailand,7375000024.00,37964925.00,60.00,194.00,513120.00,74.00,0.00
1971,United States,1167770000000.00,207661000.00,71.00,5623.00,9629090.00,23.00,6.00
1972,Australia,51954439252.00,13177000.00,72.00,3943.00,7741220.00,2.00, -
1972,Brazil,58539008786.00,100143598.00,61.00,585.00,8515770.00,12.00,3.00
1972,Canada,113082820992.00,21993631.00,73.00,5142.00,9984670.00,2.00,6.00
1972,China,113687586299.00,862030000.00,61.00,132.00,9562950.00,92.00, -
1972,France,203494148244.00,52959228.00,73.00,3842.00,549086.00,97.00,3.00
1972,United Kingdom,169965034965.00,56086065.00,72.00,3030.00,243610.00,232.00,4.00
1972,India,70509913049.00,579411513.00,50.00,122.00,3287260.00,195.00, -
1972,Ireland,6325627655.00,3036850.00,72.00,2083.00,70280.00,44.00, -
1972,Italy,144780887782.00,54381345.00,72.00,2662.00,301340.00,185.00,6.00
1972,Mexico,45200000000.00,55478151.00,63.00,815.00,1964380.00,29.00, -
1972,Nigeria,12274416018.00,58662603.00,47.00,209.00,923770.00,64.00, -
1972,Netherlands,54008338918.00,13328593.00,74.00,4052.00,41530.00,395.00, -
1972,New Zealand,9820126398.00,2903900.00,72.00,3382.00,267710.00,11.00, -
1972,Thailand,8177884553.00,39061994.00,61.00,209.00,513120.00,76.00,1.00
1972,United States,1282449000000.00,209896000.00,71.00,6110.00,9629090.00,23.00,6.00
1973,Australia,63721973094.00,13380000.00,72.00,4762.00,7741220.00,2.00, -
1973,Brazil,79279057731.00,102584278.00,61.00,773.00,8515770.00,12.00,3.00
1973,Canada,131321859214.00,22369408.00,73.00,5871.00,9984670.00,2.00,6.00
